"outcome","outcome_label","treatment","specification","estimator","sample","wave_fe","respondent_fe","estimate","std_error","p_value","n"
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Wave l",FALSE,FALSE,0.113400081199433,0.0283483308999323,7.08549351443948e-05,627
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Wave l",FALSE,FALSE,0.109428537119509,0.0275259103145544,7.84717411424406e-05,627
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Wave l",FALSE,FALSE,0.0913139869793424,0.0312648917315306,0.00362830655605011,614
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave l",FALSE,FALSE,0.0836662776755372,0.0310985049942667,0.00713742622366153,614
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Wave m",FALSE,FALSE,0.0474722345096618,0.0207070843657841,0.0220204582499536,1408
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Wave m",FALSE,FALSE,0.0359932896465509,0.0206080858516852,0.0809322620293281,1407
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Wave m",FALSE,FALSE,0.00571995421966722,0.0231026572492667,0.80449053326843,1377
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave m",FALSE,FALSE,0.0030835866115308,0.0226451792389107,0.891687150676095,1377
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Wave n",FALSE,FALSE,0.0517768073786279,0.0209471599843238,0.0135759323213299,1258
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Wave n",FALSE,FALSE,0.0500984069972447,0.0205918238908708,0.0151163599367466,1258
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Wave n",FALSE,FALSE,0.0215056097720598,0.0214206175528262,0.315599105751156,1218
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave n",FALSE,FALSE,0.0273746711828014,0.02153116554,0.203587252695503,1218
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Wave o",FALSE,FALSE,0.0385663284479512,0.0223547020755163,0.0847651201176439,1131
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Wave o",FALSE,FALSE,0.0400271799286326,0.0220234686253247,0.0694093302413073,1131
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Wave o",FALSE,FALSE,-0.0108071322179628,0.025631122549193,0.673372806072168,1089
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave o",FALSE,FALSE,0.00738750224107097,0.0244662507238325,0.762692739194465,1089
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Pooled",FALSE,FALSE,0.0563325624193285,0.0122459407186441,4.34095821165465e-06,4424
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Pooled",FALSE,FALSE,0.051914547668745,0.0119901558025046,1.52574714530456e-05,4423
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Pooled",FALSE,FALSE,0.0223770801680386,0.0126030694641472,0.0758823348022218,4298
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Pooled",FALSE,FALSE,0.023759492205259,0.0124729019170624,0.0567945165943187,4298
"loneliness","Loneliness","social_media_weekday","Bivariate","ols","Pooled + wave FE",TRUE,FALSE,0.056214478020856,0.0122627266673002,4.68368146889916e-06,4424
"loneliness","Loneliness","social_media_weekday","+ Basic controls","ols","Pooled + wave FE",TRUE,FALSE,0.0518919662381899,0.0120046219216387,1.57549978200036e-05,4423
"loneliness","Loneliness","social_media_weekday","+ Rich controls","ols","Pooled + wave FE",TRUE,FALSE,0.0225390472524028,0.0126006995888765,0.0737318923678322,4298
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Pooled + wave FE",TRUE,FALSE,0.0242944965767908,0.0124440484120522,0.0509027799517383,4298
"loneliness","Loneliness","social_media_weekday","Bivariate","fe","Within FE",FALSE,TRUE,0.0471837944664033,0.0192146912725764,0.0142080681156972,2777
"loneliness","Loneliness","social_media_weekday","+ Basic controls","fe","Within FE",FALSE,TRUE,0.0362382818003066,0.0191858746677793,0.0591638870694264,2777
"loneliness","Loneliness","social_media_weekday","+ Rich controls","fe","Within FE",FALSE,TRUE,0.0416333827080892,0.0197219101142739,0.0349865531962853,2689
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Within FE",FALSE,TRUE,NA,NA,NA,NA
"loneliness","Loneliness","social_media_weekday","Bivariate","fe","Within FE + wave FE",TRUE,TRUE,0.0361673918113767,0.019307442138873,0.0612830859706088,2777
"loneliness","Loneliness","social_media_weekday","+ Basic controls","fe","Within FE + wave FE",TRUE,TRUE,0.0363458756091461,0.0192956414013872,0.0598607894952162,2777
"loneliness","Loneliness","social_media_weekday","+ Rich controls","fe","Within FE + wave FE",TRUE,TRUE,0.0418488848040876,0.0198710604796819,0.0354195121640344,2689
"loneliness","Loneliness","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Within FE + wave FE",TRUE,TRUE,NA,NA,NA,NA
